"","ID","jab","ext","int","red","jab_ex","jab_in","jab_re","province"
"18397",18397,0.031011346,0,0,0,0,0,0,"Zaragoza"
"12587",12587,0.434158844,0,0,0,0,0,0,"Teruel"
"333",333,3.225179982,0,0,0,0,0,0,"Malaga"
"13135",13135,0.279102114,0,0,0,0,0,0,"Guadalajara"
"19438",19438,0.527192882,0,0,0,0,0,0,"Ourense"
"20644",20644,3.349225366,0,0,0.554038901,0,0,1.85560114,"Girona"
"21955",21955,0.434158844,0,0,0,0,0,0,"Leon"
"18250",18250,1.984726143,0,1.589901751,0,0,3.15551957,0,"Barcelona"
"20309",20309,0.062022692,0,0.397475438,0,0,0.024652497,0,"La_Rioja"
"182",182,4.868781319,0,0.397475438,0,0,1.935220986,0,"Cadiz"
"12396",12396,0.837306342,0,0,0,0,0,0,"Cuenca"
"24458",24458,0.248090768,0,0,0.554038901,0,0,0.137451936,"Lugo"
"12453",12453,0.589215574,0.609189807,0,0,0.358944122,0,0,"Salamanca"
"13332",13332,0.182677251,0,0,0,0,0,0,"Teruel"
"17387",17387,0.093034038,0,0,0,0,0,0,"Zaragoza"
"24029",24029,0.930340379,0,0,0,0,0,0,"Alava"
"10255",10255,1.147419801,0,0,0,0,0,0,"Caceres"
"13523",13523,0.093034038,0,2.384852627,0,0,0.22187247,0,"Tarragona"
"3099",3099,0.651238266,1.827569422,0.397475438,0.554038901,1.19018314,0.258851215,0.360811333,"Huelva"
"3968",3968,0.31011346,0,0,0,0,0,0,"Jaen"
"16991",16991,0.899329033,0,0,0,0,0,0,"Soria"
"9308",9308,2.635964408,0,0,0,0,0,0,"Toledo"
"9709",9709,1.829669413,0,0,0.554038901,0,0,1.01370803,"Caceres"
"6171",6171,0.992363071,0,0,0,0,0,0,"Badajoz"
"2491",2491,1.085397109,0,0,0,0,0,0,"Granada"
"15414",15414,0.496181536,0,0,0,0,0,0,"Zaragoza"
"19450",19450,0.806294996,0,0,0.554038901,0,0,0.446718793,"Ourense"
"546",546,0.15505673,0,0,0,0,0,0,"Almeria"
"178",178,0,0,0,0,0,0,0,"Cadiz"
"23677",23677,1.116408455,0,0,0,0,0,0,"Alava"
"3406",3406,0,0,0,0,0,0,0,"Cordoba"
"5753",5753,1.891692105,0,0,0,0,0,0,"Ciudad_Real"
"11400",11400,0.62022692,0,0,0,0,0,0,"Caceres"
"3293",3293,0.031011346,0,0,0,0,0,0,"Jaen"
"25152",25152,1.457533261,0,0,0.554038901,0,0,0.807530126,"Asturias"
"12911",12911,0.589215574,1.827569422,0,0,1.076832365,0,0,"Salamanca"
"7448",7448,0.062022692,0,0,0,0,0,0,"Albacete"
"13157",13157,0.713260958,0,0,0,0,0,0,"Guadalajara"
"13300",13300,1.798658067,0,0,0,0,0,0,"Guadalajara"
"22701",22701,2.139782873,0,0,0,0,0,0,"Huesca"
"17606",17606,2.077760181,0,0.397475438,0,0,0.825858638,0,"Huesca"
"17913",17913,0.062022692,0,0,0,0,0,0,"Valladolid"
"19459",19459,0.868317688,0,0,0,0,0,0,"Zamora"
"14685",14685,0,0,0,0.554038901,0,0,0,"Avila"
"23847",23847,0.651238266,0,0,0,0,0,0,"Burgos"
"3436",3436,0.248090768,0,0,0,0,0,0,"Jaen"
"25908",25908,0.248090768,0,0,0.554038901,0,0,0.137451936,"ACorunia"
"16493",16493,0.031011346,0,0.397475438,0,0,0.012326248,0,"Zaragoza"
"9103",9103,1.054385763,0,0,0,0,0,0,"Caceres"
"6099",6099,0.31011346,0,0,0,0,0,0,"Albacete"
"12631",12631,0.713260958,0,0,0,0,0,0,"Avila"
"10945",10945,0.961351725,0,0,0,0,0,0,"Castellon"
"21860",21860,1.147419801,0,0,0,0,0,0,"Lleida"
"26185",26185,0.31011346,0,0,0,0,0,0,"Lugo"
"6078",6078,0.837306342,0,0,0,0,0,0,"Ciudad_Real"
"10762",10762,1.581578645,0,0,0,0,0,0,"Cuenca"
"22848",22848,0.217079422,0,0,0,0,0,0,"Burgos"
"16390",16390,0.062022692,0,1.192426313,2.216155603,0,0.07395749,0.137451936,"Zamora"
"12190",12190,0.62022692,0,0,0,0,0,0,"Avila"
"18270",18270,2.822032484,0,0,0.554038901,0,0,1.563515775,"Girona"
"11720",11720,0.248090768,0.609189807,0,0,0.151134367,0,0,"Caceres"
"15053",15053,0.992363071,0,0,0,0,0,0,"Guadalajara"
"24060",24060,0.961351725,0,0,0,0,0,0,"Navarre"
"5415",5415,0.124045384,8.528657301,0.794950876,0,1.057940569,0.098609987,0,"Badajoz"
"16377",16377,0.713260958,0,0,0,0,0,0,"Zamora"
"10512",10512,0.31011346,0,0,0,0,0,0,"Valencia"
"13369",13369,0.31011346,0,0.397475438,0,0,0.123262483,0,"Tarragona"
"21050",21050,0.403147498,0,0,0,0,0,0,"La_Rioja"
"5268",5268,0,4.873518457,0.397475438,1.108077801,0,0,0,"Badajoz"
"25825",25825,0.496181536,0,0,0.554038901,0,0,0.274903873,"Lugo"
"11664",11664,2.077760181,0,0,0,0,0,0,"Teruel"
"3914",3914,0.279102114,7.310277686,0,1.108077801,2.040313955,0,0.309266857,"Huelva"
"12854",12854,1.798658067,0,0,0,0,0,0,"Cuenca"
"16569",16569,0.403147498,0,1.589901751,1.662116702,0,0.640964913,0.670078189,"Zamora"
"15607",15607,0.186068076,0,0.397475438,0,0,0.07395749,0,"Zaragoza"
"3434",3434,0.46517019,0,0,0,0,0,0,"Jaen"
"118",118,0.031011346,0,0,0.554038901,0,0,0.017181492,"Cadiz"
"7189",7189,1.240453839,0,0,0,0,0,0,"Valencia"
"9806",9806,0.434158844,0,0,0,0,0,0,"Valencia"
"7710",7710,0.46517019,0,0,0,0,0,0,"Ciudad_Real"
"17706",17706,0.15505673,0,0,0,0,0,0,"Valladolid"
"24067",24067,0.930340379,0,0,0,0,0,0,"Navarre"
"19115",19115,0.837306342,0,2.384852627,0,0,1.996852228,0,"Huesca"
"21438",21438,1.426521915,0,0.397475438,0,0,0.567007423,0,"Ourense"
"6572",6572,0.651238266,0,0,0,0,0,0,"Albacete"
"8695",8695,3.380236712,0,0,0,0,0,0,"Ciudad_Real"
"24192",24192,0.248090768,0,0,0,0,0,0,"Cantabria"
"10135",10135,2.201805565,0.609189807,0,1.108077801,1.341317507,0,2.439771869,"Toledo"
"12163",12163,0.434158844,0,0,0,0,0,0,"Caceres"
"10318",10318,2.635964408,0,0,0,0,0,0,"Toledo"
"17354",17354,1.054385763,0,0,0,0,0,0,"Soria"
"8265",8265,0.868317688,0,0.397475438,0,0,0.345134953,0,"Ciudad_Real"
"23929",23929,0.093034038,0,0.397475438,1.662116702,0,0.036978745,0.154633428,"ACorunia"
"5027",5027,0.124045384,7.310277686,0,0,0.906806202,0,0,"Cordoba"
"1150",1150,2.635964408,0.609189807,0,0,1.60580265,0,0,"Sevilla"
"19776",19776,0.589215574,0,0,0,0,0,0,"Burgos"
"6264",6264,1.085397109,0,0,0,0,0,0,"Albacete"
"563",563,0,0,0,0,0,0,0,"Sevilla"
"17033",17033,0.279102114,0,0,0,0,0,0,"Zaragoza"
"12591",12591,0.651238266,0,0,0,0,0,0,"Castellon"
"11230",11230,0.558204228,0,0,0,0,0,0,"Teruel"
"657",657,0,0,0,0,0,0,0,"Cadiz"
"18079",18079,0.651238266,0,0.397475438,0,0,0.258851215,0,"Zamora"
"6633",6633,1.023374417,0.609189807,0,0,0.623429264,0,0,"Badajoz"
"24347",24347,0.247052015,0,0,0,0,0,0,"Leon"
"8908",8908,4.031474978,0,0,0,0,0,0,"Valencia"
"348",348,0,0,0,0,0,0,0,"Cadiz"
"24694",24694,2.511919025,0,0,0.554038901,0,0,1.391700855,"Cantabria"
"16457",16457,0.062022692,0,0,0,0,0,0,"Soria"
"1996",1996,0.31011346,0,0,0,0,0,0,"Granada"
"21181",21181,3.690350172,0,0.397475438,0,0,1.46682355,0,"Ourense"
"17657",17657,3.752372864,0,0.397475438,0,0,1.491476047,0,"Barcelona"
"6884",6884,0.403147498,0,0,0,0,0,0,"Albacete"
"998",998,2.635964408,0,0,0.554038901,0,0,1.460426823,"Granada"
"15524",15524,0.217079422,0,0,0,0,0,0,"Valladolid"
"17634",17634,0.093034038,0,0.794950876,0,0,0.07395749,0,"Lleida"
"3798",3798,1.271465185,2.436759229,0,0,3.098254524,0,0,"Sevilla"
"13657",13657,0.434158844,0,0,0,0,0,0,"Teruel"
"23492",23492,0.930340379,0,0.397475438,0.554038901,0,0.36978745,0.515444761,"Alava"
"24348",24348,0.223854343,0,0,0,0,0,0,"Leon"
"19655",19655,2.884055176,0,0.794950876,0,0,2.292682188,0,"Girona"
"25690",25690,0,0,0,0,0,0,0,"ACorunia"
"16287",16287,0.434158844,0,0,0,0,0,0,"Zaragoza"
"4526",4526,1.116408455,0,0,0,0,0,0,"Albacete"
"4102",4102,0.651238266,0,0,0,0,0,0,"Jaen"
"13284",13284,0.496181536,0,0.397475438,0,0,0.197219973,0,"Madrid"
"368",368,0.961351725,1.827569422,0.397475438,0,1.756937017,0.382113698,0,"Cadiz"
"1663",1663,0.279102114,0,0.397475438,0,0,0.110936235,0,"Almeria"
"20453",20453,1.736635375,0,0,0,0,0,0,"Ourense"
"8220",8220,1.395510569,0.609189807,0,0,0.850130815,0,0,"Caceres"
"19383",19383,2.666975754,0,0,0,0,0,0,"Lleida"
"23822",23822,0.248090768,0,0,0,0,0,0,"Palencia"
"4659",4659,0.930340379,0,0,0,0,0,0,"Jaen"
"1975",1975,0.186068076,0,0,0,0,0,0,"Granada"
"10844",10844,0.15505673,1.218379614,0,0,0.188917959,0,0,"Caceres"
"5932",5932,0.341124806,0,0,0,0,0,0,"Ciudad_Real"
"25975",25975,0.558204228,0,0,0.554038901,0,0,0.309266857,"Asturias"
"26114",26114,0.341124806,0,0,0.554038901,0,0,0.188996412,"ACorunia"
"18767",18767,0,0,0,0,0,0,0,"Zamora"
"24053",24053,0.46517019,0,0,0,0,0,0,"Navarre"
"24801",24801,0.372136152,0,0,0.554038901,0,0,0.206177904,"Lugo"
"10251",10251,0.744272304,1.827569422,0.397475438,0,1.360209303,0.29582996,0,"Caceres"
"16568",16568,0.403147498,0,0.794950876,0,0,0.320482456,0,"Zamora"
"24064",24064,0.899329033,0,0,0,0,0,0,"Navarre"
"5696",5696,0.15505673,4.26432865,0.397475438,0,0.661212856,0.061631242,0,"Badajoz"
"22697",22697,1.426521915,0,0,0,0,0,0,"Huesca"
"400",400,0,0,0,0,0,0,0,"Cadiz"
"19983",19983,0.124045384,0,0,0,0,0,0,"Leon"
"16357",16357,3.132145944,0,1.589901751,0,0,4.979804322,0,"Tarragona"
"7565",7565,0,0,0,0,0,0,0,"Ciudad_Real"
"14476",14476,0.589215574,0,0.397475438,0,0,0.234198718,0,"Tarragona"
"22594",22594,0.186068076,0,0,1.662116702,0,0,0.309266857,"Leon"
"10468",10468,0.124045384,0,0,0,0,0,0,"Cuenca"
"14614",14614,0.186068076,0,0.397475438,0,0,0.07395749,0,"Teruel"
"19725",19725,1.271465185,0,1.192426313,0,0,1.516128544,0,"Zamora"
"18286",18286,2.232816911,0,0,1.662116702,0,0,3.71120228,"Zamora"
"24862",24862,0.961351725,0,0,0,0,0,0,"Cantabria"
"12871",12871,0.651238266,0,0,0,0,0,0,"Teruel"
"18517",18517,0.031011346,0,0,0,0,0,0,"Zamora"
"13132",13132,0.031011346,0,0,0,0,0,0,"Madrid"
"17451",17451,2.108771527,0,1.192426313,0,0,2.514554658,0,"Barcelona"
"17883",17883,1.302476531,0,1.192426313,1.108077801,0,1.553107288,1.443245331,"Zamora"
"8534",8534,0.806294996,0,0,0,0,0,0,"Caceres"
"15443",15443,0.248090768,0,1.589901751,0,0,0.394439946,0,"Teruel"
"11008",11008,0.248090768,0,0.397475438,0,0,0.098609987,0,"Toledo"
"20203",20203,0.527192882,0,0,0,0,0,0,"Ourense"
"10591",10591,0.651238266,0,0,0,0,0,0,"Toledo"
"22796",22796,0.77528365,0,0,0,0,0,0,"Leon"
"4258",4258,1.023374417,0,0,0,0,0,0,"Jaen"
"59",59,1.612589991,0,0,0,0,0,0,"Cadiz"
"17828",17828,0.403147498,0,4.372229816,0,0,1.76265351,0,"Lleida"
